fec;pet;eur;oro;dol;c18;c36;ibe
141217;63.31;3550.34;1307.9;3015.41;55.16;60.276;10176.5
151217;63.23;3528.11;1308.1;2999.07;55.215;59.914;10150.4
161217;63.07;3525.21;1310.78;2996.61;55.224;59.555;10173.23
171217;63.17;3525.21;1314.86;2996.61;55.162;59.238;10213.11
181217;63.41;3539.3;1316.3;2996.61;55;59;10244.1
191217;63.8;3513.87;1315.5;2975.59;54.724;58.869;10234.3
201217;64.56;3531.09;1321.1;2972.05;54.367;58.828;10207.7
211217;64.9;3517.11;1322;2965.77;53.976;58.849;10304.6
221217;65.25;3506.8;1330.5;2963.58;53.598;58.905;10182
231217;65.91;3505.1;1303.26;2962.14;53.278;58.967;10091.28
241217;66.66;3505.1;1268.44;2962.14;53.063;59.008;10090.5
251217;67.14;3505.1;1277.9;2962.14;53;59;10133.39
261217;67.02;3514.28;1339.2;2962.14;53.118;58.923;10173.71
271217;66.44;3522.72;1343;2962.26;53.38;58.79;10165.2
281217;66.72;3547.23;1350.1;2971.63;53.734;58.622;10093.1
291217;66.87;3582.89;1362.6;2984;54.126;58.438;10043.9
301217;66.54;3582.89;1335.32;2984;54.504;58.259;10034.72
311217;66.09;3582.89;1299.65;2984;54.812;58.107;10049.59
10118;65.95;3582.89;1308.7;2984;55;58;10070.41
20118;66.57;3593.93;1370.5;2984;55.029;57.954;10079.1
30118;67.84;3535.6;1374.2;2940.94;54.928;57.955;10116
40118;68.07;3511.94;1377.4;2908.68;54.74;57.984;10314.4
50118;67.62;3473.01;1378.4;2885.76;54.509;58.022;10411.4
60118;67.23;3488.13;1379.97;2898.32;54.279;58.051;10420.96
70118;67.21;3488.13;1380.98;2898.32;54.095;58.05;10402.18
80118;67.78;3470.74;1376.8;2898.32;54;58;10398.4
90118;68.82;3457.41;1370;2898.32;54.025;57.889;10426.5
100118;69.2;3491.42;1377;2914.37;54.148;57.732;10428.3
110118;69.26;3487.86;1380.1;2895.69;54.333;57.55;10435.2
120118;69.87;3480.5;1394.4;2865.79;54.546;57.364;10462.4
130118;70.56;3468.44;1371.79;2855.86;54.752;57.196;10458.47
140118;70.83;3468.44;1337.4;2855.86;54.915;57.068;10445.03
150118;70.26;3504.71;1341.8;2855.86;55;57;10467.2
160118;69.15;3492.43;1396.8;2855.86;54.982;57.008;10520.4
170118;69.38;3510.76;1399.7;2868.03;54.878;57.085;10474.6
180118;69.31;3489.21;1387.4;2851.13;54.715;57.215;10432.7
190118;68.61;3467.48;1394.3;2836.85;54.518;57.386;10479.5
200118;68.24;3485.69;1398.59;2851.75;54.316;57.583;10522.62
210118;68.4;3485.69;1396.91;2851.75;54.134;57.792;10550.44
220118;69.03;3493.39;1394;2851.75;54;58;10584
230118;69.96;3508.38;1398.2;2854.2;53.932;58.194;10609.5
240118;70.53;3539.11;1419.1;2858.5;53.919;58.372;10563
250118;70.42;3526.23;1425.9;2820.53;53.942;58.533;10595.3
260118;70.52;3459.99;1416;2783.13;53.98;58.677;10595.4
270118;70.39;3487.33;1409.31;2805.12;54.016;58.803;10614.11
280118;69.98;3487.33;1406.82;2805.12;54.029;58.911;10623.23
290118;69.46;3465.73;1403.6;2805.12;54;59;10555.6
300118;69.02;3527.75;1398.5;2842.67;53.916;59.07;10428.2
310118;69.05;3542.66;1401.7;2844.14;53.786;59.119;10451.5
10218;69.65;3535.02;1406.7;2835.05;53.626;59.146;10399
20218;68.58;3490.37;1396.2;2806.67;53.452;59.149;10211.2
30218;67.87;3522.04;1391.44;2832.13;53.279;59.126;10176.66
40218;67.75;3522.04;1393.35;2832.13;53.123;59.077;10200.19
50218;67.62;3517.22;1394.5;2832.13;53;59;10064.5
60218;66.86;3509.86;1387;2843.6;52.921;58.894;9810
70218;65.51;3496.87;1372.3;2844.83;52.882;58.765;9976.9
80218;64.81;3469.54;1376.4;2830.89;52.875;58.619;9756.3
90218;62.79;3506.05;1372.3;2862.78;52.892;58.463;9639.6
100218;61.97;3562.28;1373.7;2908.7;52.923;58.304;9693.33
110218;62.28;3562.28;1380.1;2908.7;52.962;58.147;9780.13
120218;62.59;3570.43;1383.1;2908.7;53;58;9771.1
130218;62.72;3588.25;1387;2904.29;53.03;57.867;9650.7
140218;64.36;3603.29;1415.1;2904.71;53.05;57.743;9686.2
150218;64.33;3613.37;1413.7;2895.79;53.06;57.62;9714.9
160218;64.84;3549.56;1415;2851.74;53.061;57.492;9832.1
170218;65.47;3551.33;1387.06;2853.16;53.051;57.35;9845.38
180218;65.78;3551.33;1350.5;2853.16;53.031;57.189;9793.7
190218;65.67;3536.49;1347.8;2853.16;53;57;9806.2
200218;65.25;3520.8;1390.1;2853.16;52.96;56.781;9895.3
210218;65.42;3525.42;1392.3;2862.01;52.918;56.55;9823.3
220218;66.39;3545.33;1393.1;2877.94;52.884;56.33;9876.5
230218;67.31;3537.61;1390.7;2877.04;52.866;56.142;9822.4
240218;67.88;3503.86;1394.31;2849.59;52.873;56.009;9809.29
250218;67.98;3503.86;1399.26;2849.59;52.915;55.954;9855.07
260218;67.5;3501.01;1394.8;2849.59;53;56;9902.4
270218;66.63;3487.72;1381.3;2849.91;53.133;56.16;9900.2
280218;65.78;3482.81;1380.8;2855.93;53.301;56.412;9840.3
10318;63.83;3492.29;1367.6;2867.94;53.484;56.726;9738.6
20318;64.37;3543.82;1385.8;2879.05;53.663;57.073;9531.1
30318;65.01;3543.95;1389.94;2879.15;53.822;57.421;9467.62
40318;65.23;3543.95;1381.39;2879.15;53.94;57.74;9526.88
50318;65.54;3548.84;1382.1;2879.15;54;58;9590.8
60318;65.79;3544.99;1397.5;2859.09;53.988;58.178;9586.8
70318;64.34;3528.15;1389.5;2845.05;53.911;58.278;9599.3
80318;63.61;3524.14;1384;2858.88;53.783;58.31;9646.2
90318;65.49;3536.94;1386.9;2871.36;53.615;58.288;9686.1
100318;66.31;3531.48;1385.8;2866.93;53.42;58.221;9720.34
110318;65.79;3531.48;1382.62;2866.93;53.211;58.121;9739.48
120318;64.95;3531.2;1383.7;2866.93;53;58;9727.5
130318;64.64;3535.14;1390.3;2851.84;52.798;57.867;9691.7
140318;64.89;3520.03;1388.6;2848.38;52.611;57.726;9688.5
150318;65.12;3505.69;1380.6;2845.76;52.441;57.58;9684.2
160318;66.21;3499.56;1375.2;2850.04;52.292;57.432;9761
170318;66.43;3502.56;1377.38;2852.48;52.166;57.284;9762.08
180318;66.04;3502.56;1381.79;2852.48;52.068;57.139;9702.69
190318;66.05;3516.82;1380.6;2852.48;52;57;9664.1
200318;67.42;3499.99;1375.1;2852.48;51.964;56.868;9681.6
210318;69.47;3516.56;1385.5;2866.92;51.954;56.74;9630.9
220318;68.91;3508.34;1391.1;2850.69;51.961;56.612;9487.4
230318;70.45;3532.05;1413.9;2857.88;51.977;56.478;9393.1
240318;71.11;3521.09;1427.68;2849.01;51.995;56.334;9343.55
250318;70.61;3521.09;1427.8;2849.01;52.005;56.177;9335.97
260318;70.12;3544.45;1419.9;2849.01;52;56;9381
270318;70.11;3490.56;1406.7;2816.33;51.975;55.804;9473.6
280318;69.53;3433.35;1387.8;2780.04;51.939;55.599;9555
290318;70.27;3419.14;1384.9;2780.47;51.902;55.402;9600.4
300318;70.17;3419.14;1392.12;2780.47;51.879;55.229;9636.83
310318;69.15;3419.14;1401.71;2780.47;51.879;55.093;9662.42
10418;68.03;3419.14;1407.84;2780.47;51.916;55.012;9664.7
20418;67.64;3422.2;1404.7;2780.47;52;55;9631.25
30418;68.12;3427.8;1395.4;2792.96;52.139;55.067;9549.6
40418;68.02;3416.72;1398.6;2778.27;52.315;55.196;9513.3
50418;68.33;3413.25;1387;2791.57;52.508;55.365;9740.9
60418;67.11;3417.3;1394.8;2787.36;52.695;55.552;9682.8
70418;66.41;3422.84;1400.71;2791.88;52.854;55.735;9639.04
80418;66.93;3422.84;1400.17;2791.88;52.963;55.892;9681.06
90418;68.65;3436.8;1398.5;2791.88;53;56;9742.8
100418;71.04;3435.43;1404.4;2781.95;52.951;56.041;9763.5
110418;72.06;3427.39;1418.9;2767.82;52.832;56.015;9735.8
120418;72.02;3366.26;1400.3;2733.24;52.666;55.925;9747
130418;72.58;3340.38;1406.6;2710.03;52.477;55.775;9767.3
140418;72.6;3334.6;1413.48;2705.34;52.287;55.568;9767.31
150418;72.06;3334.6;1412.92;2705.34;52.12;55.309;9759.79
160418;71.42;3345.15;1409.3;2705.34;52;55;9766.1
170418;71.58;3365.28;1408;2726.47;51.943;54.649;9803.9
180418;73.48;3373.28;1412.2;2725.66;51.936;54.278;9857.3
190418;73.78;3344.98;1407.5;2705.64;51.961;53.911;9868
200418;74.06;3344.83;1396.9;2724.47;51.999;53.575;9884.2
210418;74.61;3385.95;1385.8;2757.96;52.031;53.294;9910.04
220418;74.98;3385.95;1379.32;2757.96;52.038;53.094;9928.44
230418;74.71;3369.95;1382.7;2757.96;52;53;9922
240418;73.86;3418.97;1391.8;2799.45;51.905;53.027;9883.4
250418;74;3389.89;1381.6;2785.22;51.765;53.151;9858
260418;74.74;3415.94;1376.7;2820.29;51.597;53.337;9902.3
270418;74.64;3403.52;1382.3;2812.83;51.418;53.549;9925.4
280418;75.23;3395.6;1386.85;2806.28;51.248;53.754;9927.71
290418;75.88;3395.6;1385.99;2806.28;51.102;53.916;9937.38
300418;75.17;3390.27;1377.8;2806.28;51;54;9980.6
10518;73.13;3368.53;1365.1;2809.92;50.953;53.982;10060.63
20518;73.36;3359.26;1364;2809.92;50.949;53.879;10088.9
30518;73.62;3384.51;1371.1;2831.99;50.973;53.716;10038.8
40518;74.87;3409.13;1373.4;2857.85;51.006;53.52;10104.1
50518;76.3;3391.9;1373.35;2843.41;51.033;53.318;10146.07
60518;76.98;3391.9;1372.95;2843.41;51.037;53.136;10145.04
70518;76.17;3387.35;1372.9;2843.41;51;53;10140.9
80518;74.85;3339.51;1372.5;2817.2;50.911;52.93;10168.1
90518;77.21;3397.36;1371.7;2866;50.78;52.914;10221.2
100518;77.47;3396.53;1380.8;2859.51;50.62;52.935;10246.6
110518;77.12;3370.76;1379.1;2822.37;50.448;52.972;10271.4
120518;77.34;3372.76;1384.14;2824.05;50.277;53.008;10280.98
130518;77.86;3372.76;1388.95;2824.05;50.123;53.023;10274.1
140518;78.23;3379.54;1376.6;2824.05;50;53;10257.8
150518;78.43;3349.61;1348.5;2824.05;49.919;52.925;10207.6
160518;79.28;3405.71;1350.1;2889.87;49.877;52.805;10111
170518;79.3;3378.56;1347.9;2865.37;49.866;52.654;10216.4
180518;78.51;3396.8;1349.2;2886.23;49.881;52.485;10112.4
190518;78.32;3443.22;1349.53;2925.67;49.912;52.311;10010.38
200518;78.71;3443.22;1348.52;2925.67;49.954;52.145;9996.93
210518;79.22;3437.37;1349;2925.67;50;52;10066.5
220518;79.57;3410.78;1350;2897.37;50.042;51.888;10138.8
230518;79.8;3337.02;1347.4;2851.42;50.077;51.811;10025
240518;78.79;3356.58;1362.4;2863.24;50.101;51.771;9996
250518;76.44;3336.39;1361.4;2863.12;50.108;51.769;9826.5
260518;75.32;3364.41;1332.44;2887.16;50.097;51.806;9803.09
270518;75.28;3364.41;1298.3;2887.16;50.062;51.882;9854.4
280518;75.3;3354.88;1297.6;2887.16;50;52;9764.4
290518;75.39;3338.42;1354.6;2887.16;49.908;52.157;9521.3
300518;77.5;3360.01;1357.6;2893.82;49.791;52.339;9566.2
310518;77.59;3360.74;1355.9;2879.32;49.653;52.527;9465.5
10618;76.79;3369.52;1350.9;2889.32;49.499;52.705;9632.4
20618;75.99;3344.92;1346.77;2868.22;49.336;52.855;9778.77
30618;75.43;3344.92;1346.21;2868.22;49.168;52.959;9808.9
40618;75.29;3354.38;1349.4;2868.22;49;53;9750.3
50618;75.38;3346.64;1354.1;2868.22;48.838;52.965;9686.4
60618;75.36;3375.41;1353.5;2865.37;48.681;52.867;9791.6
70618;77.32;3344.32;1354.4;2828.42;48.531;52.721;9829
80618;76.46;3336.3;1354.4;2835.78;48.388;52.544;9746.3
90618;76.06;3359.85;1355.38;2855.8;48.251;52.354;9745.52
100618;76.46;3359.85;1356.47;2855.8;48.122;52.167;9820.85
110618;76.46;3371.27;1355.5;2855.8;48;52;9898.3
120618;75.88;3365.56;1351.8;2855.8;47.887;51.868;9914.4
130618;76.74;3363.39;1353.5;2857.11;47.793;51.775;9899.1
140618;75.94;3330.65;1360.6;2859.17;47.73;51.724;9957.7
150618;73.44;3321.92;1329.3;2859.78;47.707;51.719;9851
160618;73.09;3357.09;1315.47;2890.06;47.737;51.761;9781
170618;74.36;3357.09;1322.35;2890.06;47.831;51.854;9773.71
180618;75.34;3355.94;1331.1;2890.06;48;52;9769.4
190618;75.08;3375.4;1329.2;2919.14;48.249;52.197;9755.4
200618;74.74;3394.12;1325.3;2931.78;48.556;52.422;9788.9
210618;73.05;3384.88;1321;2916.49;48.895;52.648;9702.1
220618;75.55;3426.89;1321.3;2944.82;49.236;52.846;9792.1
230618;76.3;3395.93;1323.65;2918.22;49.552;52.989;9791.49
240618;75.2;3395.93;1324.15;2918.22;49.816;53.05;9694.9
250618;74.73;3409.94;1319.2;2918.22;50;53;9617.9
260618;76.31;3414.83;1309.6;2927.67;50.082;52.823;9637.4
270618;77.62;3390.2;1305.7;2924.1;50.069;52.545;9658.6
280618;77.85;3397.75;1300.2;2934.91;49.972;52.206;9589
290618;79.44;3438.1;1303.9;2945.09;49.805;51.844;9622.7
300618;79.46;3421.42;1294.73;2930.8;49.579;51.497;9605.65
10718;78.21;3421.42;1282.85;2930.8;49.306;51.203;9553.65
20718;77.3;3401.19;1289.9;2930.8;49;51;9558.3
30718;77.76;3413.8;1302.4;2930.8;48.673;50.917;9660.9
40718;78.24;3387.92;1258.1;2909.83;48.337;50.944;9757.5
50718;77.39;3405.08;1307.6;2909.83;48.006;51.06;9866.2
60718;77.11;3392.23;1304.8;2885.53;47.694;51.244;9905
70718;76.76;3371.55;1297.51;2867.94;47.413;51.476;9915.99
80718;76.76;3371.55;1302.86;2867.94;47.178;51.734;9921.52
90718;78.07;3372.12;1309;2867.94;47;52;9927
100718;78.86;3376.35;1305.1;2881.09;46.889;52.254;9889.3
110718;73.4;3366.71;1293.3;2872.62;46.837;52.485;9733.6
120718;74.45;3364.82;1295.4;2880.1;46.83;52.685;9767.4
130718;75.33;3362.16;1289.7;2882.02;46.856;52.845;9734.8
140718;74.39;3338.46;1289.72;2861.7;46.902;52.957;9708.94
150718;72.85;3338.46;1292.74;2861.7;46.954;53.011;9712.2
160718;71.84;3349.91;1288.2;2861.7;47;53;9716.9
170718;72.16;3351.52;1275.3;2868.96;47.03;52.919;9719.4
180718;72.9;3350.61;1275.7;2878.28;47.044;52.784;9753.2
190718;72.58;3340.4;1271.1;2876.93;47.046;52.615;9721.1
200718;73.07;3375.79;1277.5;2883.81;47.039;52.432;9724.8
210718;73.26;3375.79;1279.74;2883.81;47.026;52.255;9713.22
220718;73.1;3375.79;1276.05;2883.81;47.012;52.104;9698.7
230718;73.06;3374.92;1271.4;2883.81;47;52;9726.1
240718;73.44;3391.5;1271.5;2897.73;46.992;51.956;9773.1
250718;73.93;3382.97;1277.4;2898.36;46.988;51.959;9703.1
260718;74.54;3360.81;1271.8;2882.84;46.987;51.99;9780
270718;74.29;3362.72;1269.3;2886.21;46.989;52.029;9867.9
280718;74.35;3356.41;1267.86;2880.79;46.992;52.057;9883.89
290718;74.74;3356.41;1266.87;2880.79;46.996;52.054;9862.05
300718;74.97;3373.41;1268;2880.79;47;52;9854.1
310718;74.25;3364.3;1270.1;2875.72;47.003;51.883;9870.7
10818;72.39;3369.18;1264.3;2886.8;47.004;51.72;9799.3
20818;73.45;3358.62;1256.5;2892.62;47.005;51.532;9698.2
30818;73.21;3366.49;1259.7;2904.9;47.005;51.344;9739.8
40818;72.68;3359.64;1260.29;2898.99;47.004;51.177;9747.06
50818;72.76;3359.64;1257.06;2898.99;47.002;51.054;9717.74
60818;73.75;3350.36;1254.1;2898.99;47;51;9722.7
70818;74.65;3360.07;1254.7;2898.86;46.998;51.029;9772.8
80818;72.28;3363.26;1257.3;2898.86;46.995;51.129;9747.1
90818;72.07;3365.89;1256.3;2908.9;46.993;51.28;9754.6
100818;72.81;3337.21;1255.1;2919.44;46.992;51.463;9602.1
110818;72.93;3361.8;1247.28;2940.95;46.993;51.657;9508.65
120818;72.68;3361.8;1237.57;2940.95;46.995;51.842;9503.99
130818;72.61;3357.09;1234.6;2940.95;47;52;9530.4
140818;72.46;3393.03;1236.4;2983.93;47.007;52.114;9507
150818;70.76;3396.31;1220.2;3002.66;47.016;52.184;9386.8
160818;71.43;3470.26;1219.2;3046.76;47.023;52.213;9427.4
170818;71.83;3444.7;1219.3;3019.55;47.027;52.206;9417.3
180818;72.03;3449.8;1220.98;3024.02;47.026;52.165;9400.32
190818;72.21;3449.8;1224.92;3024.02;47.017;52.095;9414.76
200818;72.21;3456.76;1229.6;3024.02;47;52;9468.6
210818;72.63;3483.07;1234.9;3024.02;46.973;51.883;9549
220818;74.78;3468.41;1238.2;2990.78;46.943;51.749;9580.2
230818;74.73;3432.21;1228.4;2965.45;46.916;51.603;9567.3
240818;75.82;3465.29;1248.2;2980.64;46.901;51.45;9589.5
250818;76.63;3439.49;1259.44;2958.45;46.905;51.295;9634.57
260818;76.66;3439.49;1256.93;2958.45;46.935;51.143;9668.7
270818;76.21;3452.22;1251.2;2958.45;47;51;9659.8
280818;75.95;3436.66;1249.6;2934.31;47.103;50.871;9606.5
290818;77.14;3467.85;1246.5;2966;47.237;50.766;9569.5
300818;77.77;3496.3;1239.5;2999.57;47.392;50.697;9467.6
310818;77.42;3522.07;1241.1;3027.39;47.556;50.674;9399.1
10918;77.39;3552.02;1225.23;3053.14;47.719;50.71;9369.65
20918;77.74;3552.02;1204.9;3053.14;47.871;50.815;9364.91
30918;78.15;3549.28;1206.3;3053.14;48;51;9376.1
40918;78.17;3527.6;1233.6;3053.14;48.098;51.27;9376.3
50918;77.27;3590.04;1236;3088.47;48.164;51.598;9301.3
60918;76.5;3605.73;1239.1;3100.37;48.197;51.954;9208.7
70918;76.83;3578.22;1235.5;3089.47;48.197;52.305;9171.2
80918;76.82;3555.85;1233.22;3070.15;48.164;52.617;9189.55
90918;76.72;3555.85;1233.83;3070.15;48.098;52.86;9233.86
100918;77.37;3562.3;1235;3070.15;48;53;9270.8
110918;79.06;3555.7;1237.6;3069.49;47.871;53.016;9284.1
120918;79.74;3589.18;1246.6;3087.73;47.719;52.928;9306.8
130918;78.18;3566.11;1243.8;3055.01;47.556;52.766;9329.2
140918;78.09;3522.11;1236.6;3019.38;47.392;52.562;9365.3
150918;78.01;3522.11;1236.4;3026.05;47.237;52.346;9380.17
160918;77.78;3530.1;1240.14;3026.05;47.103;52.148;9384.3
170918;78.05;3527.5;1241.2;3026.05;47;52;9404.6
180918;79.03;3517;1238.3;3013.38;46.936;51.923;9447.5
190918;79.4;3537.5;1244.1;3007.03;46.905;51.906;9486.3
200918;78.7;3539;1247;3018.63;46.901;51.928;9583.7
210918;78.8;3524;1236.9;3014.18;46.916;51.969;9590.4
220918;79.4;3524;1232.78;3006.96;46.943;52.009;9567.08
230918;80.23;3534.4;1235.69;3006.96;46.973;52.026;9541.47
240918;81.2;3527.5;1240;3006.96;47;52;9512.8
250918;81.87;3534.5;1240.8;2991.9;47.017;51.917;9493.6
260918;81.34;3521.5;1234.4;3001.88;47.025;51.788;9524.8
270918;81.72;3477;1222.4;3000.14;47.026;51.628;9527.5
280918;82.72;3439.5;1231.3;2989.58;47.022;51.453;9389.2
290918;83.93;3439.5;1230.85;2972.18;47.015;51.279;9365.21
300918;84.87;3458;1223.96;2972.18;47.007;51.123;9418.43
11018;84.98;3473;1227;2972.18;47;51;9407
21018;84.8;3485.5;1242.7;2993.74;46.996;50.923;9305.5
31018;86.29;3462;1238.7;3005.5;46.995;50.886;9361.1
41018;84.58;3494.5;1237.5;3012.65;46.995;50.881;9314.5
51018;84.16;3495;1242.2;3028.16;46.997;50.899;9253.9
61018;83.78;3495;1237.89;3031.31;46.998;50.931;9198.78
71018;83.4;3487.5;1228.8;3031.31;47;50.967;9169.02
81018;83.91;3501;1224.9;3031.31;47;51;9199.2
91018;85;3516.5;1227.8;3031.31;46.999;51.021;9260.5
101018;83.09;3564.5;1229.4;3057.55;46.996;51.032;9162.9
111018;80.26;3583;1264;3090.3;46.994;51.034;9007.9
121018;80.43;3581;1258.1;3087.34;46.992;51.029;8902
131018;80.63;3581;1253.47;3088.78;46.992;51.021;8832.61
141018;80.47;3577.9;1259.63;3088.78;46.994;51.01;8825.51
151018;80.78;3583.5;1266.9;3088.78;47;51;8923.7
161018;81.41;3532.5;1267.3;3088.78;47.01;50.992;9074.7
171018;80.05;3527.5;1263.4;3055.93;47.021;50.986;8997.2
181018;79.29;3541.5;1266.6;3056.37;47.03;50.983;8889.6
191018;79.78;3545;1265.3;3088.47;47.036;50.983;8892.1
201018;80.92;3545;1259.42;3079.88;47.035;50.986;8893.5
211018;81.43;3544.1;1255.68;3079.88;47.024;50.991;8863.23
221018;79.83;3538.5;1261.3;3079.88;47;51;8806.5
231018;76.44;3580;1273.5;3087.58;46.963;51.011;8726.1
241018;76.17;3606.5;1267.6;3110.2;46.921;51.023;8677.4
251018;76.89;3607;1269;3149.7;46.885;51.032;8785.2
261018;77.62;3628;1272.3;3167.18;46.864;51.038;8730.4
271018;78.19;3628;1270.2;3185.26;46.87;51.036;8727.49
281018;78.24;3597.8;1265.68;3185.26;46.911;51.024;8787.82
291018;77.34;3624.5;1263.7;3185.26;47;51;8821.2
301018;75.91;3638.5;1261.5;3188.69;47.141;50.964;8806.1
311018;75.47;3641.5;1250.8;3202.44;47.317;50.922;8893.5
11118;72.89;3644;1274.8;3219.85;47.509;50.887;8954.8
21118;72.83;3628;1269.9;3193.8;47.694;50.867;8993
31118;73.5;3628;1266.04;3177.57;47.851;50.872;9028.85
41118;73.73;3655.9;1268.99;3177.57;47.961;50.913;9043.57
51118;73.17;3630;1269;3177.57;48;51;9010.7
61118;72.13;3596.5;1263;3177.57;47.956;51.138;8988.9
71118;72.07;3575;1265.4;3154.55;47.842;51.311;9167.9
81118;70.65;3583;1262;3140.25;47.682;51.5;9177
91118;70.18;3605;1245;3145.39;47.495;51.683;9134.8
101118;71.4;3605;1237.54;3176.89;47.305;51.841;9083.49
111118;72.24;3579.9;1238.8;3176.89;47.133;51.954;9050.28
121118;70.12;3565.5;1239.6;3176.89;47;52;9076.3
131118;65.47;3600;1237.5;3176.89;46.923;51.967;9145.4
141118;66.12;3624;1246.2;3197.2;46.894;51.866;9106.6
151118;66.62;3613.5;1251.7;3194.7;46.899;51.716;9073.5
161118;66.76;3618;1259;3198.29;46.926;51.536;9056.8
171118;68.02;3618;1265.06;3173.59;46.961;51.344;9081.88
181118;68.82;3614.2;1266.64;3173.59;46.99;51.159;9092.57
191118;66.79;3637.5;1261.6;3173.59;47;51;9006.3
201118;62.53;3636;1257.5;3178.81;46.982;50.882;8866.5
211118;63.48;3635;1264.7;3189.51;46.947;50.806;8960.6
221118;62.6;3640.5;1228;3196.26;46.907;50.771;8906.2
231118;58.8;3661;1260;3196.26;46.878;50.775;8916.7
241118;57.71;3661;1281.86;3223.95;46.875;50.816;8984.4
251118;59.01;3619.2;1276.27;3223.95;46.91;50.891;9054.63
261118;60.48;3675.5;1259.7;3223.95;47;51;9091.2
271118;60.21;3684;1250.4;3240.65;47.151;51.138;9085.6
281118;58.76;3718;1260.2;3250.56;47.343;51.297;9102.7
291118;59.51;3690.5;1260.8;3274.47;47.551;51.464;9098.9
301118;58.71;3660;1256.5;3240.02;47.747;51.63;9077.2
11218;58.97;3660;1256.63;3235.27;47.905;51.781;9130.69
21218;60.37;3683.2;1261.68;3235.27;47.998;51.909;9199.9
31218;61.69;3621;1270.2;3235.27;48;52;9179.6
41218;62.08;3603.5;1277.4;3196.15;47.895;52.048;9061.7
51218;61.56;3584.5;1273.4;3174.11;47.712;52.061;9012.2
61218;60.06;3624.5;1274.3;3162.29;47.49;52.05;8764.5
71218;61.67;3582.5;1283.6;3187.86;47.269;52.027;8815.5
81218;61.96;3582.5;1287.15;3153.29;47.087;52.003;8809.18
91218;60.82;3625.9;1284.55;3153.29;46.984;51.99;8713.13
101218;59.97;3624;1280;3153.29;47;52;8660
111218;60.2;3606;1278.1;3176.12;47.16;52.042;8735.5
121218;60.15;3603;1281;3184.7;47.435;52.117;8853.4
131218;61.45;3613.5;1278.4;3169.36;47.78;52.227;8926.3
141218;60.28;3613.5;1272.2;3178.4;48.153;52.37;8886.1
151218;60.42;3613.5;1272.38;3196.3;48.509;52.547;8879.1
161218;61.09;3588.1;1277.46;3196.3;48.806;52.757;8882.39
171218;59.61;3608.5;1282.6;3196.3;49;53;8812.5
181218;56.26;3643;1284;3188.66;49.059;53.272;8700.8
191218;57.24;3662;1286.8;3198.45;49.001;53.548;8769.1
201218;54.35;3743;1298.6;3216.55;48.856;53.801;8596.5
211218;53.82;3746.5;1288.6;3246.86;48.654;54.001;8556.8
221218;52.47;3746.5;1297.37;3285.34;48.424;54.12;8559.25
231218;50.6;3727;1312.71;3285.34;48.196;54.129;8536.73
241218;50.47;3756;1302.4;3285.34;48;54;8480.6
251218;53.1;3743.5;1270.75;3285.51;47.86;53.719;8394.82
